filename,Crack,Red-Dots,Toothmark
CC_1311_jpg.rf.1c021f815e3f13ff1da57eb0a4aaf4b9.jpg,0,1,0
CC_1485_jpg.rf.1be90431f70fd51920fe4773419a4ae4.jpg,0,1,0
CC_1493_jpg.rf.1bedd1b74145dacfc72c8b7c81057a73.jpg,0,1,0
CC_1276_jpg.rf.1c049ea503b73e285d2afa5024219ac5.jpg,0,0,0
CC_1683_jpg.rf.1c0a08050f49ed2c914b58c90e80c6b2.jpg,1,0,0
CC_15_jpg.rf.1c090fe77a10ba8fbbc18ee01fcb4d50.jpg,0,1,1
CC_1739_jpg.rf.1bf50724b40f1441e7204b56640beed7.jpg,0,1,1
CC_1059_jpg.rf.1c65fcf9d8f97ef00f67f72cf319d4d9.jpg,1,1,1
CC_1238_jpg.rf.1bfcd61022debe713c696323dd511ca5.jpg,0,0,0
CC_1570_jpg.rf.1c1f51156ce81098b6b2d4fa44761590.jpg,1,1,1
CC_1071_jpg.rf.1c7b70c8a110c9b2bc61153037533c85.jpg,1,1,1
CC_84_jpg.rf.1c4cdb4338c4f6a6e3b8300bec6c4f81.jpg,1,1,1
CC_1192_jpg.rf.1c3d405da2ba8a0ef1b0898b6a27c95f.jpg,0,1,1
CC_826_jpg.rf.1c8bb8ebe8852f71d4f9ea4f9491e81e.jpg,1,0,1
CC_1203_jpg.rf.1c2ccfb6c6aa7f6e488a55b16c4d607b.jpg,1,1,1
CC_1464_jpg.rf.1c5f0164e1e1f537367e42ce62c0e084.jpg,0,1,1
CC_16_jpg.rf.1c96f90342172f5358237c252cc909e0.jpg,0,0,1
CC_1180_jpg.rf.1c9949cf4438d3dcdcdd998caa5f884f.jpg,0,0,0
CC_2385_jpg.rf.1cabbb3cb95cc295712c7ef1d825eb08.jpg,1,0,0
CC_1002_jpg.rf.1caf439fb4b07c62526b8ebee1cd6678.jpg,1,0,0
CC_2060_jpg.rf.1ce7a2f736d3b66496e695ad330032b9.jpg,0,1,1
CC_2113_jpg.rf.1cfe86a5aa68b09f1bbf546b3382c4c4.jpg,1,0,0
CC_123_jpg.rf.1c02268c1e6122b418d945b63f5d686e.jpg,1,1,1
CC_1308_jpg.rf.1cfdfcb4f0dae8a5ef1fe0681e86c615.jpg,0,0,0
CC_1138_jpg.rf.1cd833222203730c58b5dca0129c2c05.jpg,0,1,1
CC_2303_jpg.rf.1d30d90f484a559f99782797cbe3b73b.jpg,0,0,1
CC_174_jpg.rf.1d2e1d2efe1d1069f3643e6bf141cddd.jpg,1,0,1
CC_2409_jpg.rf.1dd66fc6d2beaeff204fdf16b59e0eb4.jpg,1,1,0
CC_1758_jpg.rf.1d575369c7fe6fd33df6d7dc28aa2e83.jpg,1,0,1
CC_1067_jpg.rf.1dd6aa50e38be13367ffdf4c3cd3d568.jpg,1,1,1
CC_1686_jpg.rf.1d84c7ad6db553abff51152cd70092e3.jpg,1,0,0
CC_1248_jpg.rf.1d33a4c2befc0d927d8d03fbcfaea7be.jpg,0,0,1
CC_1409_jpg.rf.1e1ebaad5eecd950cdfc18ebe2253137.jpg,1,0,1
CC_3021_jpg.rf.1db7288b3a94859302d6b75a02ce2236.jpg,1,0,0
CC_2122_jpg.rf.1d3ee1d0ac8bc4de41d22d1df22fa0fd.jpg,1,0,0
CC_1132_jpg.rf.1df3861980366d50a8c596a6e5a97e8e.jpg,0,0,1
CC_1147_jpg.rf.1d7dcf08b93272a9563eb6317980cbc8.jpg,0,0,0
CC_1210_jpg.rf.1dc03589ec1082fc1232200428904694.jpg,0,1,1
CC_1072_jpg.rf.1e2a6aef32d7237a2eabec58278c5e56.jpg,1,1,1
CC_913_jpg.rf.1e3a2a38ae48fff142d544c6aca8f29c.jpg,1,0,1
CC_1042_jpg.rf.1df690f68c5c605f4624be7472624a6e.jpg,0,1,0
CC_1160_jpg.rf.1e3e27be051ddf0ef635a935a5fcfb5e.jpg,1,1,0
CC_826_jpg.rf.1e52493b6f3f865a5a726961985cf8b2.jpg,1,0,1
CC_1158_jpg.rf.1e04259313fd7e24f31154fb9709c4ef.jpg,1,1,0
CC_1363_jpg.rf.1e131cea92035f36ffd6655f17c1fe50.jpg,0,0,1
CC_1699_jpg.rf.1e4461f9ea8693a238caf6dbe7caeb9d.jpg,0,1,1
CC_1193_jpg.rf.1e74244d8f4808f284f77b95048dd5ad.jpg,0,1,1
